Datum,Uhrzeit,Status,Latenz (ms)
2025-03-31,08:08:50.422,OK (36ms),36
2025-03-31,08:08:50.960,OK (15ms),15
2025-03-31,08:08:51.474,OK (35ms),35
2025-03-31,08:08:52.008,OK (14ms),14
2025-03-31,08:08:52.521,OK (29ms),29
2025-03-31,08:08:53.050,OK (14ms),14
2025-03-31,08:08:53.565,OK (14ms),14
2025-03-31,08:08:54.077,OK (16ms),16
2025-03-31,08:08:54.594,OK (14ms),14
2025-03-31,08:08:55.108,OK (42ms),42
2025-03-31,08:08:55.650,OK (40ms),40
2025-03-31,08:08:56.191,OK (16ms),16
2025-03-31,08:08:56.706,OK (15ms),15
2025-03-31,08:08:57.221,OK (15ms),15
2025-03-31,08:08:57.737,OK (20ms),20
2025-03-31,08:08:58.256,OK (31ms),31
2025-03-31,08:08:58.788,OK (15ms),15
2025-03-31,08:08:59.304,OK (29ms),29
2025-03-31,08:08:59.832,OK (34ms),34
2025-03-31,08:09:00.366,OK (29ms),29
2025-03-31,08:09:00.895,OK (16ms),16
2025-03-31,08:09:01.412,OK (24ms),24
2025-03-31,08:09:01.935,OK (21ms),21
2025-03-31,08:09:02.456,OK (20ms),20
2025-03-31,08:09:02.977,OK (23ms),23
2025-03-31,08:09:03.500,OK (36ms),36
2025-03-31,08:09:04.034,OK (16ms),16
2025-03-31,08:09:04.550,OK (32ms),32
2025-03-31,08:09:05.082,OK (36ms),36
2025-03-31,08:09:05.617,OK (15ms),15
2025-03-31,08:09:06.131,OK (14ms),14
2025-03-31,08:09:06.644,OK (35ms),35
2025-03-31,08:09:07.180,OK (26ms),26
2025-03-31,08:09:07.705,OK (36ms),36
2025-03-31,08:09:08.241,OK (23ms),23
2025-03-31,08:09:08.764,OK (15ms),15
2025-03-31,08:09:09.278,OK (16ms),16
2025-03-31,08:09:09.793,OK (13ms),13
2025-03-31,08:09:10.305,OK (29ms),29
2025-03-31,08:09:10.833,OK (30ms),30
2025-03-31,08:09:11.363,OK (27ms),27
2025-03-31,08:09:11.890,OK (16ms),16
2025-03-31,08:09:12.406,OK (41ms),41
2025-03-31,08:09:12.946,OK (30ms),30
2025-03-31,08:09:13.476,OK (32ms),32
2025-03-31,08:09:14.008,OK (27ms),27
2025-03-31,08:09:14.534,OK (14ms),14
2025-03-31,08:09:15.047,OK (13ms),13
2025-03-31,08:09:15.559,OK (32ms),32
2025-03-31,08:09:16.091,OK (13ms),13
2025-03-31,08:09:16.603,OK (37ms),37
2025-03-31,08:09:17.140,OK (16ms),16
2025-03-31,08:09:17.655,OK (14ms),14
2025-03-31,08:09:18.168,OK (14ms),14
2025-03-31,08:09:18.681,OK (14ms),14
2025-03-31,08:09:19.194,OK (13ms),13
2025-03-31,08:09:19.706,OK (15ms),15
2025-03-31,08:09:20.220,OK (16ms),16
2025-03-31,08:09:20.735,OK (15ms),15
2025-03-31,08:09:21.250,OK (34ms),34
2025-03-31,08:09:21.783,OK (32ms),32
2025-03-31,08:09:22.314,OK (15ms),15
2025-03-31,08:09:22.829,OK (26ms),26
2025-03-31,08:09:23.354,OK (29ms),29
2025-03-31,08:09:23.882,OK (35ms),35
2025-03-31,08:09:24.416,OK (36ms),36
2025-03-31,08:09:24.952,OK (11ms),11
2025-03-31,08:09:25.462,OK (27ms),27
2025-03-31,08:09:25.989,OK (16ms),16
2025-03-31,08:09:26.503,OK (14ms),14
2025-03-31,08:09:27.017,OK (35ms),35
2025-03-31,08:09:27.551,OK (16ms),16
2025-03-31,08:09:28.065,OK (15ms),15
2025-03-31,08:09:28.579,OK (28ms),28
2025-03-31,08:09:29.106,OK (20ms),20
2025-03-31,08:09:29.625,OK (22ms),22
2025-03-31,08:09:30.147,OK (16ms),16
2025-03-31,08:09:30.662,OK (25ms),25
2025-03-31,08:09:31.187,OK (15ms),15
2025-03-31,08:09:31.700,OK (15ms),15
2025-03-31,08:09:32.214,OK (14ms),14
2025-03-31,08:09:32.728,OK (24ms),24
2025-03-31,08:09:33.251,OK (16ms),16
2025-03-31,08:09:33.767,OK (49ms),49
2025-03-31,08:09:34.315,OK (32ms),32
2025-03-31,08:09:34.847,OK (16ms),16
2025-03-31,08:09:35.363,OK (15ms),15
2025-03-31,08:09:35.877,OK (26ms),26
2025-03-31,08:09:36.403,OK (13ms),13
2025-03-31,08:09:36.916,OK (13ms),13
2025-03-31,08:09:37.428,OK (16ms),16
2025-03-31,08:09:37.943,OK (14ms),14
2025-03-31,08:09:38.457,OK (23ms),23
2025-03-31,08:09:38.979,OK (39ms),39
2025-03-31,08:09:39.517,OK (14ms),14
2025-03-31,08:09:40.030,OK (12ms),12
2025-03-31,08:09:40.542,OK (14ms),14
2025-03-31,08:09:41.055,OK (31ms),31
2025-03-31,08:09:41.585,OK (13ms),13
2025-03-31,08:09:42.098,OK (18ms),18
2025-03-31,08:09:42.615,OK (16ms),16
2025-03-31,08:09:43.132,OK (13ms),13
2025-03-31,08:09:43.644,OK (15ms),15
2025-03-31,08:09:44.159,OK (15ms),15
2025-03-31,08:09:44.674,OK (14ms),14
2025-03-31,08:09:45.187,OK (15ms),15
2025-03-31,08:09:45.701,OK (13ms),13
2025-03-31,08:09:46.214,OK (24ms),24
2025-03-31,08:09:46.738,OK (15ms),15
2025-03-31,08:09:47.253,OK (29ms),29
2025-03-31,08:09:47.782,OK (23ms),23
2025-03-31,08:09:48.304,OK (13ms),13
2025-03-31,08:09:48.818,OK (13ms),13
2025-03-31,08:09:49.330,OK (14ms),14
2025-03-31,08:09:49.844,OK (14ms),14
2025-03-31,08:09:50.357,OK (23ms),23
2025-03-31,08:09:50.879,OK (11ms),11
2025-03-31,08:09:51.390,OK (16ms),16
2025-03-31,08:09:51.906,OK (14ms),14
2025-03-31,08:09:52.419,OK (16ms),16
2025-03-31,08:09:52.933,OK (14ms),14
2025-03-31,08:09:53.446,OK (13ms),13
2025-03-31,08:09:53.958,OK (15ms),15
2025-03-31,08:09:54.472,OK (15ms),15
2025-03-31,08:09:54.986,OK (32ms),32
2025-03-31,08:09:55.516,OK (13ms),13
2025-03-31,08:09:56.029,OK (27ms),27
2025-03-31,08:09:56.555,OK (15ms),15
2025-03-31,08:09:57.069,OK (19ms),19
2025-03-31,08:09:57.587,OK (14ms),14
2025-03-31,08:09:58.101,OK (32ms),32
2025-03-31,08:09:58.632,OK (30ms),30
2025-03-31,08:09:59.162,OK (34ms),34
2025-03-31,08:09:59.695,OK (13ms),13
2025-03-31,08:10:00.207,OK (30ms),30
2025-03-31,08:10:00.738,OK (19ms),19
2025-03-31,08:10:01.256,OK (14ms),14
2025-03-31,08:10:01.770,OK (34ms),34
2025-03-31,08:10:02.304,OK (63ms),63
2025-03-31,08:10:02.866,OK (13ms),13
2025-03-31,08:10:03.379,OK (17ms),17
2025-03-31,08:10:03.895,OK (15ms),15
2025-03-31,08:10:04.409,OK (40ms),40
2025-03-31,08:10:04.949,OK (15ms),15
